"I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,02-28-2017 02:43:03"
"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together we are going to MAKE AM… https://t.co/OSxa3BamHs,01-20-2017 00:40:51"
"Join me at 4pm over at the Lincoln Memorial with my family!#Inauguration2017 https://t.co/GQeQpJOgWz,01-19-2017 20:21:36"
"Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!,01-19-2017 20:18:32"
"On my way! #Inauguration2017 https://t.co/hOuMbxGnpe,01-19-2017 20:13:57"
"the American people. I have no doubt that we will together MAKE AMERICA GREAT AGAIN!,01-19-2017 13:02:18"
"Getting ready to leave for Washington D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..,01-19-2017 13:00:13"
"It wasn't Donald Trump that divided this country this country has been divided for a long time! Stated today by Reverend Franklin Graham.,01-19-2017 12:52:22"
"Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD,01-19-2017 04:01:40"
"Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,01-19-2017 01:54:13"
"Looking forward to a speedy recovery for George and Barbara Bush both hospitalized. Thank you for your wonderful letter!,01-18-2017 22:21:02"
"Writing my inaugural address at the Winter White House Mar-a-Lago three weeks ago. Looking forward to Friday.… https://t.co/J0ojOXjrga,01-18-2017 17:33:25"
".@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,01-18-2017 14:03:53"
"No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,01-18-2017 13:06:58"
"Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump the latest in a string... @WSJ,01-18-2017 13:00:51"
"to the U.S. but had nothing to do with TRUMP is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!,01-18-2017 12:44:03"
"Totally biased @NBCNews went out of its way to say that the big announcement from Ford G.M. Lockheed &amp; others that jobs are coming back...,01-18-2017 12:34:09"
"Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,01-18-2017 11:53:24"
"Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!,01-17-2017 17:55:38"
"How Trump Won--And How The Media Missed It https://t.co/Hfab41h65X,01-17-2017 17:36:45"
"thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president. Sound familiar! WP,01-17-2017 14:52:39"
"John Lewis said about my inauguration ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...,01-17-2017 14:46:27"
"country and with the massive cost reductions I have negotiated on military purchases and more I believe the people are seeing ""big stuff."",01-17-2017 14:36:26"
"With all of the jobs I am bringing back into the U.S. (even before taking office) with all of the new auto plants coming back into our.....,01-17-2017 14:30:19"
"The same people who did the phony election polls and were so wrong are now doing approval rating polls. They are rigged just like before.,01-17-2017 13:11:56"
"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday Friday and Saturday!,01-17-2017 13:05:10"
"At 9:00 P.M. @CNN of all places is doing a Special Report on my daughter Ivanka. Considering it is CNN can't imagine it will be great!,01-17-2017 01:49:38"
"Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,01-16-2017 13:54:52"
"much worse - just look at Syria (red line) Crimea Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?,01-16-2017 00:29:05"
".@FoxNews ""Outgoing CIA Chief John Brennan blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really couldn't do...,01-16-2017 00:16:20"
".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny cast is terrible always a complete hit job. Really bad television!,01-15-2017 22:46:33"
"about that...Those Intelligence chiefs made a mistake here &amp; when people make mistakes they should APOLOGIZE."" Media should also apologize,01-15-2017 20:13:00"
"Thank you to Bob Woodward who said ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...,01-15-2017 20:04:38"
"For many years our country has been divided angry and untrusting. Many say it will never change the hatred is too deep. IT WILL CHANGE!!!!,01-15-2017 19:00:21"
"will only get higher. Car companies and others if they want to do business in our country have to start making things here again. WIN!,01-15-2017 14:02:41"
"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation that number..,01-15-2017 13:59:29"
"Inauguration Day is turning out to be even bigger than expected. January 20th Washington D.C. Have fun!,01-15-2017 01:58:57"
"Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,01-15-2017 00:22:01"
"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN,01-14-2017 13:14:13"
"mention crime infested) rather than falsely complaining about the election results. All talk talk talk - no action or results. Sad!,01-14-2017 13:07:12"
"Congressman John Lewis should spend more time on fixing and helping his district which is in horrible shape and falling apart (not to......,01-14-2017 12:50:26"
"A beautiful funeral today for a real NYC hero Detective Steven McDonald. Our law enforcement community has my complete and total support.,01-13-2017 17:42:42"
"The ""Unaffordable"" Care Act will soon be history!,01-13-2017 11:33:24"
"have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,01-13-2017 11:25:54"
"What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....,01-13-2017 11:22:38"
"released by ""Intelligence"" even knowing there is no proof and never will be. My people will have a full report on hacking within 90 days!,01-13-2017 11:16:54"
"Totally made up facts by sleazebag political operatives both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...,01-13-2017 11:11:13"
"It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....,01-13-2017 11:05:55"
"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts not mine!,01-13-2017 10:49:34"
"Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!,01-12-2017 17:41:11"
".@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,01-12-2017 14:22:21"
"Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,01-12-2017 13:50:13"
"James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up phony facts.Too bad!,01-12-2017 12:23:45"
"We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,01-12-2017 04:01:38"
"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?,01-11-2017 12:48:52"
"I win an election easily a great ""movement"" is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!,01-11-2017 12:44:05"
"Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING!,01-11-2017 12:31:31"
"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE."" Very unfair!,01-11-2017 12:13:40"
"'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh,01-11-2017 02:00:11"
"FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,01-11-2017 01:19:23"
"'Trump Helps Lift Small Business Confidence to 12-Yr. High'https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx,01-10-2017 22:30:53"
"'Small business optimism soars after Trump election' https://t.co/WjBaTp824U,01-10-2017 20:50:31"
"'U.S. Small-Business Optimism Index Surges by Most Since 1980'https://t.co/X22x1BttdG,01-10-2017 15:26:22"
"Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! #LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv,01-10-2017 02:20:01"
"An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf,01-09-2017 22:32:33"
"Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!,01-09-2017 14:16:34"
"It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants adding 2000 jobs. This after...,01-09-2017 14:14:10"
"groveling when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!,01-09-2017 11:43:26"
"Hillary flunky who lost big. For the 100th time I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......,01-09-2017 11:36:02"
"Meryl Streep one of the most over-rated actresses in Hollywood doesn't know me but attacked last night at the Golden Globes. She is a.....,01-09-2017 11:27:50"
"Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,01-09-2017 11:17:40"
"Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,01-09-2017 04:05:31"
"Before I or anyone saw the classified and/or highly confidential hacking intelligence report it was leaked out to @NBCNews. So serious!,01-08-2017 18:56:20"
"Kellyanne Conway went to @MeetThePress this morning for an interview with @chucktodd. Dishonest media cut out 9 of her 10 minutes. Terrible!,01-08-2017 16:46:07"
"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain a longtime U.S. ally is very special!,01-08-2017 02:07:09"
"Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp; star,01-07-2017 23:54:05"
"both countries will perhaps work together to solve some of the many great and pressing problems and issues of the WORLD!,01-07-2017 15:21:42"
"have enough problems around the world without yet another one. When I am President Russia will respect us far more than they do now and....,01-07-2017 15:10:46"
"Having a good relationship with Russia is a good thing not a bad thing. Only ""stupid"" people or fools would think that it is bad! We.....,01-07-2017 15:02:20"
"Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,01-07-2017 12:03:31"
"Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,01-07-2017 11:56:29"
"Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,01-07-2017 03:53:38"
"Happy Birthday @EricTrump!https://t.co/bJaEY7qFSn,01-07-2017 00:07:09"
"Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,01-06-2017 19:30:09"
"I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,01-06-2017 16:51:37"
"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse a friend. Will go this AM.,01-06-2017 14:18:51"
"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares he supported Kasich &amp; Hillary,01-06-2017 12:42:53"
"Wow the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine DJT. So much for....,01-06-2017 12:34:37"
"Hopefully all supporters and those who want to MAKE AMERICA GREAT AGAIN will go to D.C. on January 20th. It will be a GREAT SHOW!,01-06-2017 12:05:01"
"and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,01-06-2017 11:45:47"
"Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,01-06-2017 11:39:35"
